########  2026/01/15    市盈动    总市值
601880    #辽港股份     22.03     381.9亿
688318    #财富趋势     155.20    381.2亿
688213    #思特威-W     40.84     380.9亿
600595    #中孚实业     24.00     379.9亿
002472    #双环传动     31.65     379.1亿
920185    #贝特瑞       36.98     378.6亿
601865    #福莱特       44.51     378.4亿
300373    #扬杰科技     29.04     377.0亿
300458    #全志科技     101.52    376.9亿
002130    #沃尔核材     34.24     375.2亿
601699    #潞安环能     18.10     375.1亿
601577    #长沙银行     4.27      373.2亿
002456    #欧菲光       -410.03   372.0亿
600578    #京能电力     8.76      370.2亿
603806    #福斯特       40.35     369.9亿
603650    #彤程新材     56.08     369.4亿
000728    #国元证券     13.74     369.2亿
300620    #光库科技     240.06    369.1亿
688017    #绿的谐波     294.86    368.3亿
002085    #万丰奥威     37.77     367.1亿
002273    #水晶光电     27.92     366.0亿
688538    #和辉光电-U   -20.04    366.0亿
300972    #万辰集团     32.09     365.8亿
002402    #和而泰       45.42     365.1亿
001286    #陕西能源     11.32     364.9亿
600517    #国网英大     12.25     364.8亿
600352    #浙江龙盛     19.58     364.7亿
688322    #奥比中光-UW  253.07    364.5亿
600331    #宏达股份     -584.22   363.7亿
300487    #蓝晓科技     41.82     363.4亿
300003    #乐普医疗     27.75     363.3亿
002966    #苏州银行     6.07      362.1亿
688617    #惠泰医疗     43.43     360.9亿
601963    #重庆银行     5.53      360.0亿
601799    #星宇股份     23.66     360.0亿
688692    #达梦数据     81.71     359.2亿
002155    #湖南黄金     26.17     358.9亿
002673    #西部证券     21.62     358.5亿
002624    #完美世界     40.18     356.6亿
600737    #中粮糖业     32.81     356.5亿
601606    #长城军工     -1502.30  355.9亿
002032    #苏泊尔       19.52     355.6亿
600157    #永泰能源     134.79    355.6亿
600329    #达仁堂       12.34     354.2亿
688336    #三生国健     66.58     354.1亿
002203    #海亮股份     28.72     354.1亿
600901    #江苏金租     10.85     353.9亿
601990    #南京证券     29.05     353.7亿
002129    #TCL中环      -4.57     351.8亿
001389    #广合科技     36.37     351.0亿
603171    #税友股份     238.15    350.7亿
603298    #杭叉集团     15.00     350.6亿
603379    #三美股份     16.51     350.2亿
600109    #国金证券     15.36     348.3亿
601567    #三星医疗     17.07     347.8亿
300432    #富临精工     80.24     347.8亿
600208    #衢州发展     48.12     347.2亿
000158    #常山北明     -167.47   346.9亿
688147    #微导纳米     104.69    346.9亿
003031    #中瓷电子     58.50     345.8亿
002487    #大金重工     29.17     345.1亿
002152    #广电运通     42.96     344.9亿
600862    #中航高科     32.06     344.6亿
002271    #东方雨虹     31.64     341.6亿
688297    #中无人机     756.99    341.6亿
603596    #伯特利       28.73     341.5亿
300666    #江丰电子     63.86     341.3亿
002126    #银轮股份     38.10     341.2亿
603000    #人民网       759.95    340.9亿
603444    #吉比特       21.03     340.5亿
603833    #欧派家居     13.92     340.0亿
600177    #雅戈尔       10.85     339.8亿
600967    #内蒙一机     65.80     338.8亿
300073    #当升科技     50.50     338.6亿
601665    #齐鲁银行     6.40      338.5亿
600863    #内蒙华电     11.48     337.9亿
600161    #天坛生物     30.94     337.7亿
000921    #海信家电     9.00      337.5亿
002065    #东华软件     72.09     336.9亿
688819    #天能股份     18.58     336.8亿
688102    #斯瑞新材     234.24    336.7亿
000800    #一汽解放     67.74     336.1亿
600956    #新天绿能     16.11     334.8亿
603256    #宏和科技     180.67    334.4亿
002056    #横店东磁     17.26     334.3亿
601155    #新城控股     25.74     334.3亿
688433    #华曙高科     1721.48   334.2亿
601866    #中远海发     18.01     333.9亿
301275    #汉朔科技     79.59     333.7亿
002044    #美年健康     481.74    333.1亿
000830    #鲁西化工     24.41     333.1亿
300567    #精测电子     249.45    332.9亿
000729    #燕京啤酒     14.05     331.7亿
000027    #深圳能源     12.66     331.6亿
600909    #华安证券     13.19     331.2亿
688349    #三一重能     203.25    330.1亿
600095    #湘财股份     55.87     329.1亿
603308    #应流股份     83.94     328.9亿
600100    #同方股份     74.67     328.0亿
600282    #南钢股份     11.28     327.4亿
000629    #钒钛股份     -165.01   327.0亿
300699    #光威复材     59.09     326.9亿
002335    #科华数据     70.84     325.4亿
002222    #福晶科技     111.86    325.1亿
000883    #湖北能源     17.14     324.9亿
603786    #科博达       37.70     324.9亿
603885    #吉祥航空     22.19     322.4亿
600256    #广汇能源     23.88     322.2亿
002670    #国盛证券     99.59     321.4亿
002240    #盛新锂能     -32.01    321.1亿
603127    #昭衍新药     298.18    320.9亿
600301    #华锡有色     48.57     320.1亿
000513    #丽珠集团     13.68     320.0亿
002244    #滨江集团     10.01     319.5亿
600577    #精达股份     53.13     319.4亿
603225    #新凤鸣       27.56     319.2亿
601608    #中信重工     84.01     319.2亿
600363    #联创光电     59.73     318.9亿
300285    #国瓷材料     48.84     318.8亿
603737    #三棵树       32.09     318.1亿
605090    #九丰能源     19.19     317.5亿
603929    #亚翔集成     53.74     317.1亿
000423    #东阿阿胶     18.66     317.0亿
600925    #苏能股份     126.17    316.2亿
300085    #银之杰       -398.90   315.9亿
600808    #马钢股份     283.15    315.7亿
688333    #铂力特       151.65    314.9亿
688709    #成都华微     376.51    314.3亿
300170    #汉得信息     161.79    313.3亿
300627    #华测导航     47.66     313.0亿
002430    #杭氧股份     31.00     313.0亿
600126    #杭钢股份     233.14    312.7亿
603198    #迎驾贡酒     15.52     312.6亿
603175    #超颖电子     110.68    312.3亿
688278    #特宝生物     35.01     311.0亿
600765    #中航重机     37.77     310.1亿
688200    #华峰测控     60.07     309.9亿
300762    #上海瀚讯     -482.15   309.6亿
600835    #上海机电     32.91     309.3亿
300253    #卫宁健康     -95.96    308.8亿
002773    #康弘药业     22.42     308.7亿
002518    #科士达       51.90     308.5亿
000997    #新大陆       25.20     308.5亿
688796    #百奥赛图     202.35    307.9亿
600884    #杉杉股份     81.20     307.0亿
600060    #海信视像     14.12     306.7亿
603766    #隆鑫通用     14.58     306.6亿
600977    #中国电影     346.28    306.4亿
